标题,标题链接,地区,省/城市,地级城市,工作经验,工作经验_float,学历,学历_int,公司名称,公司性质,公司规模,行业领域_第一段,国民经济行业分类,薪资,薪资下区间,薪资上区间,薪资单位,职能中类,职能大类,发布时间,年份,采集时的时间,职位信息,分词
量化投资业务副总监,https://jobs.51job.com/kunshan/145452940.html,南京-秦淮区,南京,南京,3-4年,3.5,硕士,6,苏豪控股集团——弘业期货股份有限公司,国企,5000-10000人,多元化业务集团公司,,8.5千-1.2万,8.5,12,千/月,期货,金融,02-26发布,2024,2024/2/28 15:13,一、薪资待遇1、底薪（8500）+交通费+餐费+房补+提成+绩效奖；2、法定节假日+五险二金（公积金+企业年金）+节日补贴+电话补贴+学位补贴+带薪年假等；二、工作职责：1、独立研究总结期货品种，可形成量化投资策略的设计开发模型，并持续优化改进。2、对量化投资策略的表现进行跟踪、分析和评估；4、完成部门专项研究课题及其他相关工作。三、任职资格：1、硕士及以上，具有金融学、投资学、经济学、会计学、计算机等专业背景，35周岁以下；2、有一定的计算机程序设计能力，会熟练编程；3、三年以上工作经验，具有敏锐的市场触觉，成熟的操作理念，熟悉各类量化投资策略。4、有高频或量化交易客户资源优先。,"优先,交通费,投资,各类,带薪,能力,编程,及,房补,，,任职,周岁,品种,交易,节日,。,总结,或,经验,触觉,进行,节假日,经济学,等,会,假,相关,理念,3,开发,一定,工作,1,薪资,策略,+,（,改进,的,：,跟踪,学,8500,4,设计,以上,资格,分析,职责,电话,补贴,待遇,二,35,法定,会计学,持续,提成,敏锐,程序设计,熟悉,专项,模型,）,学位,表现,五险,并,企业,期货,评估,专业,背景,奖,研究,完成,餐费,量化,部门,金融学,；,操作,年,具有,二金,三年,他,研究课题,市场,硕士,对,熟练,一,三,有,可,以下,高频,、,优化,计算机,形成,成熟,及其,客户资源,绩效,公积金,和,底薪,金,2,独立"
量化研究员,https://jobs.51job.com/shenzhen/142112486.html,深圳-南山区,深圳,深圳,2年经验,2,本科,5,高盈国际技术服务（深圳）有限公司,民营,50-150人,计算机软件,信息传输、软件和信息技术服务业,1.5-3万,15,30,千/月,金融/证券/期货/投资,会计/金融/银行/保险,01-16发布,2023,,岗位职责：1、  开发A股、期货量化策略；2、  基于基本面，找寻交易逻辑，回测并开发股票中低频策略；3、  基于各种数据挖掘选股因子，提高策略绩效；4、  跟踪并优化策略的实盘表现。 任职要求：1、  计算机、数学、物理、概率统计、金融工程等理工科专业本科及以上学历； 2、  两年以上A股市场股票量化研究经验； 3、  扎实的数理统计能力、有较强的自主学习和解决问题的能力； 4、  良好的编程能力，熟练使用Python /C++； 加分项：1. 有kaggle等大数据竞赛经验，数学建模竞赛经验者优先；2. 有实盘策略者优先。,"能力,/,低频,统计,竞赛,计算机,分项,选股,两年,并,C++,逻辑,跟踪,1,；,的,学习,优化,专业本科,量化,良好,物理,：,基于,强,4,熟练,者,绩效,实盘,大,kaggle,找寻, ,数学,较,交易,要求,表现,提高,使用,岗位职责,回测,.,以上,市场,基本面,工程,期货,加,中,数理统计,股票,2,理工科,各种,有,Python,策略,金融,编程,开发,自主,3,建模,以上学历,。,研究,A股,数据挖掘,及,和,因子,概率,数据,解决问题,经验,扎实,等,优先,任职,，,、"
金融量化研究员（研究所）,https://jobs.51job.com/hangzhou-xsq/143974869.html,杭州-萧山区,杭州,杭州,1年经验,1,硕士,6,信达期货有限公司,国企,150-500人,金融/投资/证券,金融业,12-18万/年,10,15,千/月,金融/证券/期货/投资,会计/金融/银行/保险,11-14发布,2022,,（一）岗位职责：1、对宏观、股指、期权及其他商品进行量化研究及建模；2、研究各类套利交易策略，包括但不限于无风险套利、统计套利、事件套利等；3、研究开发各类标的的高频交易信号，开发因子库；4、使用模拟交易系统对研发的交易信号进行回溯测试；5、开发并维护商用数据库。（二）任职要求：1、硕士及以上学历，经济、金融、数学、物理、计算机、金融工程等相关专业；有统计，人工智能，信号处理、软件工程等方面研究经验的优先。2、具备数学建模经验，具有较强的数据处理能力。3、精通时间序列模型，衍生品定价者优先。4、具备一定的编程能力，有较强的科学研究能力；5、能掌握Python，MATLAB或SQL等工具，熟悉C++优先。,"方面,能力,定价,精通,统计,计算机,模拟,并,包括,C++,测试,事件,科学研究,1,；,模型,（,的,能,量化,物理,软件工程,或,：,MATLAB,套利,强,4,具备,具有,者,他,数据处理,时间,数学,较,交易,要求,使用,岗位职责,维护,工具,专业,熟悉,期权,商品,工程,5,衍生品,但,无风险,信号处理,2,有,高频,Python,策略,金融,编程,不,开发,股指,经济,及其,人工智能,3,建模,SQL,硕士,各类,以上学历,。,研究,库,）,数据库,交易系统,限于,及,序列,一定,因子,研发,标的,掌握,一,信号,进行,相关,宏观,经验,等,优先,对,任职,二,商用,，,、,较强,回溯"
商品量化研究员,https://jobs.51job.com/hangzhou-xsq/141406144.html,杭州-萧山区,杭州,杭州,在校生/应届生,0,本科,5,盛达期货有限公司,民营公司,50-150人,金融/投资/证券,金融业,7千-1万,7,10,千/月,金融/证券/期货/投资,会计/金融/银行/保险,08-08发布,2022,,【岗位职责】：1、收集大宗商品数据信息，建立和维护基础信息数据库；  2、在分析调研的基础上，撰写行业研究报告、量化分析报告；3、对相关投资机会进行深入的分析和研究，提出投资建议和方案。【任职资格】：1、国内外知名高校毕业，经济、计算机等相关专业优先；2、有编程能力、机器学习经验的优先考虑；3、没有计算机编程相关经验的，公司可以提供系统培训；4、应届生优先。,"培训,任职,对,基础,。,投资,，,计算机,考虑,上,优先,商品,经济,编程,收集,3,没有,国内外,撰写,信息,2,深入,研究,可以,建议,1,学习,岗位职责,建立,系统,和,数据库,维护,数据,量化,相关,方案,应届生,有,知名,；,4,】,在,机器,分析,的,专业,高校,、,毕业,大宗,能力,行业,经验,公司,提供,报告, ,提出,【,进行,机会,：,调研,等,资格"
量化研究员,https://jobs.51job.com/hangzhou-xsq/139100591.html,杭州-萧山区,杭州,杭州,1年经验,1,本科,5,金帝联合控股集团有限公司,民营公司,500-1000人,房地产,房地产业,1.5-2万/月,15,20,千/月,金融/证券/期货/投资,会计/金融/银行/保险,03-28发布,2022,,"岗位职责：1、协助股票和期货基金经理进行量化投资策略的研究；2，负责跟踪策略的实盘交易，并不断优化和改进现有的量化投资模型，实现产品的程序化交易；任职要求：1、 国内外著名院校研究生以上学历，数学、物理、计算机、统计、金融工程等专业背景优先，数学和编程功底扎实，熟悉PYTHON编程，具有量化研究实习经验者优先；2、 负责因子的挖掘和研究工作，跟踪并优化因子在实盘中的表现，负责量化投资策略的研究；3、 具有量化研究或相关项目实习经验者优先（包括论文、workingpaper、策略回测报告等）4、思维敏捷、逻辑清晰, 具备团队合作和主动思考学习能力，工作态度认真勤奋","清晰,敏捷,统计,任职,或,物理,表现,编程,3,团队,2,勤奋,主动, ,态度,交易,改进,具有,经验,能力,盘中,股票,不断,实盘,计算机,（,认真,扎实,具备,1,岗位职责,策略,院校,背景,相关,产品,回测,数学,实现,模型,现有,专业,因子,功底,研究生,工程,报告,实,合作,等,工作,包括,，,著名,优先,项目,要求,论文,程序化,经理,逻辑,跟踪,实习,量化,PYTHON,；,在,、,以上学历,进行,,,投资,国内外,研究,挖掘,思考,熟悉,并,金融,学习,和,优化,思维,者,4,协助,负责,的,基金,期货,workingpaper,）,："
量化金融风险分析师,https://jobs.51job.com/kunshan/146992507.html,,,,,,硕士,6,道富信息科技（浙江）有限公司,外资（欧美）,1000-5000人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,证券,金融,01-08发布,2024,2024/1/11 21:46,What you will be responsible for负责量化模型的验证对公司的模型进行全面的风险评估协助业务部门理解模型的潜在风险保证模型满足监管要求 Education & Preferred Qualifications硕士及以上学位，数学，统计，经济，金融工程等相关专业编程能力强（R 或 Python）有一定的英语沟通能力欢迎应届毕业生加入监管要求,"英语,Python,毕业生,，,（,风险,满足,Education,What,协助,及,）,的,工程,相关,要求,经济,等,或,Preferred,学位,有,will,沟通,for,理解,金融,对,能力,监管,一定, ,负责,统计,模型,欢迎,&,you,量化,Qualifications,编程,R,进行,加入,强,公司,保证,以上,专业,评估,数学,潜在,硕士,业务部门,responsible,全面,验证,be,应届"
AI量化工程（金融科技部）,https://jobs.51job.com/kunshan/147042454.html,,,,,,硕士,6,南京证券股份有限公司,国企,1000-5000人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,通信技术开发与应用,通信/电子,01-29发布,2024,2024/1/30 20:56,工作职责:1.负责量化投研基本面分析、风险分析、量化因子体系、智能交易风控、智能投研、基本面分析、推荐算法系统等模型算法研发；2.利用大数据分析和AI算法优化和改进二级市场投资逻辑和流程，完成模型构建和算法实现并持续迭代优化。任职资格:1.35周岁以下，***硕士研究生及以上学历，计算机、数学、金融工程、数量经济学相关专业，有良好的数理基础及算法分析能力；2.良好扎实的编程功底，精通Python、R、Matlab其中之一，C++、Java其中之一；3.熟悉机器学习和深度学习，对机器学习、深度学习有实战经验，有较强的数学基础，对数据预处理、特征工程等有丰富的经验；4.了解资产配置组合管理、衍生品定价、风险管理等模型，有量化交易系统开发经验优先；5.有顶会论文、开源项目、算法竞赛经验者、CFA、CPA等专业资质优先，通过证券、期货投资分析等相关考试优先。,"改进,之一,开发,量化,和,预处理,硕士,推荐,以上学历,并,功底,周岁,研发,数学,体系,计算机,CPA,竞赛,Python,配置,数理,基本面,数据,其中,风险,实现,*,考试,流程,分析,资产,者,资质,通过,大,顶会,专业,及,项目,工程,Matlab,交易系统,投研,证券,风险管理,市场,交易,丰富,资格,工作,利用,AI,，,对,负责,持续,。,金融,能力,了解,构建,1.35,优先,有,的,经济学,等,模型,经验,风控,任职,完成,研究生,Java,衍生品,管理,论文,编程,机器,CFA,智能,因子,职责,5,4,熟悉,2,基础,；,逻辑,实战经验,.,迭代,投资,定价,R,组合,、,期货,深度,系统,以下,相关,二级,C++,算法,数量,学习,特征,较,良好,扎实,数据分析,优化,3,开源,强,1,:,精通"
量化交易策略总监,https://jobs.51job.com/kunshan/147275959.html,,,,,,,,广州有酱料网络科技有限公司,民营,50-150人,互联网/电子商务,信息传输、软件和信息技术服务业,3-6万,30,60,千/月,证券,金融,12-25发布,2023,2023/12/28 15:56,岗位职责：1、负责分析每日行情，利用技术指标及形态图，判断行情走势；2、做期权期货的量化交易，期权期货程序化交易；3、主导行业相关数据及交易数据的分析；4、带领团队做量化交易策略开发及实盘的跟踪分析调整；5、为交易的收益率和资金的风控管理负责。岗位要求：1、数学、金融数学、物理等数理类专业优先，有成功的程序化实盘交易相关经验；2、风险意识强，理性稳健；3、心态良好，能及时自我调节和适应市场变化；4、有用Python编程的能力和数据分析能力；5、有金融量化模型的研究和开发能力，有成功的CTA策略研究成果。PS：简历请明确显示所开发量化策略实盘运行时的盈利率及***回撤范围。         面谈时请带策略案例和过去的交易成绩进行交流。,"稳健,变化,良好,。,行业,带领,1,自我调节,分析,过去,编程,岗位职责,判断,相关,能,理性,市场,简历,能力,，,、,盈利率,每日,运行,图,期货,为,时,Python,经验,所,程序化,收益率,显示,负责,范围,要求,案例,利用,调整,金融,形态,策略,和,3,；,5,团队,成绩,的,管理,强,带,4,有,资金,实盘,量化,风险意识,做,岗位,*,交易,行情,主导,成功,PS,2,数据,优先,有用,及时,跟踪,走势,面谈,数学,类,请,明确,开发, ,模型,风控,数据分析,适应,研究,CTA,：,及,技术指标,物理,交流,回撤,进行,心态,等,期权,专业,数理,时请,研究成果"
量化交易投研实习生,https://jobs.51job.com/hangzhou-scq/140031801.html,杭州-上城区,杭州,杭州,在校生/应届生,0,本科,5,上海联和金融信息服务有限公司,国企,50-150人,金融/投资/证券,金融业,150元/天,3.1245,3.1245,千/月,金融/证券/期货/投资,会计/金融/银行/保险,10-10发布,2022,,1. 数据清洗与处理；2. 参与可转债、CTA、量化对冲等量化交易策略研究开发工作。职位要求:***本科及以上学历；统计、计量经济、机器学习、人工智能等专业方向；对数据清洗、策略研发有相关经验；熟悉python、了解面向对象编程等方面知识；优秀的统计分析能力（时间序列分析、方差分析等），熟练掌握概率论知识（贝叶斯理论、马尔可夫链等）；具体薪资视工作能力面议。,"面议,统计,清洗,面向对象编程,对,及,工作,研发,，,熟练掌握,.,具体,职位,*,（,经济,薪资,序列,与,对冲,2,知识,时间,研究,要求,人工智能,方差分析,贝叶斯,开发,熟悉,参与,优秀,概率论,python,可转债,1,学习,理论,策略, ,了解,计量,统计分析,处理,量化,数据,:,相关,方面,马尔可夫,有,链,；,方向,交易,本科,CTA,机器,分析,专业,的,、,以上学历,经验,能力,视,）,。,等"
量化研究员,https://jobs.51job.com/hangzhou-scq/137848311.html,杭州-上城区,杭州,杭州,无需经验,0,硕士,6,南华期货股份有限公司,上市公司,500-1000人,金融/投资/证券,金融业,0.8-1.5万/月,8,15,千/月,金融/证券/期货/投资,会计/金融/银行/保险,02-21发布,2022,,"岗位职责:1、对金融市场进行量化建模；2、研究各类套利交易策略，包括但不限于无风险套利、统计套利、事件套利等；3、研究开发各类高频交易信号；4、使用模拟交易系统对研发的交易信号进行回溯测试；5、与系统开发岗协同，加快系统研发周期。 任职资格:1、硕士及以上学历，数学、物理、计算机、金融工程等相关专业；有统计，人工智能，信号处理等方面研究经验的优先；2、具备丰富的数学建模经验，具有很强的数据处理能力；3、 注重细节，具有极强的思考、分析、理解能力及洞察力，能够透过现象推理出本质；4、 精通时间序列模型，衍生品定价者优先； 5、具备一定的编程能力，有较强的科学研究能力、勤于动手，有毅力；6、熟悉Python, MATLAB等研究工具，熟悉C++优先。","方面,能力,定价,精通,统计,现象,计算机,系统,模拟,:,资格,动手,推理,包括,C++,测试,事件,理解能力, ,科学研究,1,；,模型,极强,的,细节,注重,6,量化,思考,透过,物理,协同,毅力,MATLAB,套利,强,分析,4,具备,具有,洞察力,者,数据处理,时间, ,数学,较,交易,岗,使用,岗位职责,,,工具,与,本质,专业,熟悉,工程,5,衍生品,但,无风险,信号处理,2,有,加快,高频,Python,能够,策略,金融,编程,不,开发,周期,人工智能,3,建模,硕士,出,各类,以上学历,。,研究,交易系统,限于,及,序列,一定,研发,丰富,勤于,金融市场,信号,进行,相关,经验,等,优先,对,任职,，,很强,、,回溯"
量化交易系统开发工程师,https://jobs.51job.com/kunshan/148540925.html,,,,3年,3,本科,5,深圳市中泰安投资有限公司,民营,少于50人,金融/投资/证券,金融业,8千-1.5万,8,15,千/月,后端开发,互联网技术,02-26发布,2024,2024/3/2 18:04,职责描述：1. 设计和开发量化交易相关的算法代码，持续优化并改进2. 策略研究，回测，实盘环节需求实现和优化3、盘后进行成交总结、统计等工作，整理策略净值数据；4、交易系统性能分析，并输出分析报告。5、量化大数据平台建设、分析模型建立并回测任职要求：（本岗位要求金融行业或量化交易行业经验）1、大学本科及以上学历，计算机科学、金融及相关专业，应届毕业生优秀予以考虑2、3年以上编程基础，熟练使用C++和Python（C++为主），能够独立完成代码的编写与调试3. 有证券、基金和期货公司行业经验者优先考虑4、对大数据处理和量化交易有强烈兴趣，工作积极主动、学习沟通能力强，有良好的团队协作精神。,"整理,交易系统,证券,算法,毕业生,调试,输出,经验,能力,研究,性能,职责,要求,本,任职,学习,熟练,净值,者,需求,与,开发,、,代码,。,对大,有,的,岗位,持续,量化,盘后,编程,实盘,完成,数据处理,金融,基金,或,考虑,使用,描述,平台,交易,应届,Python,行业,实现, ,2,报告,优先,独立,良好,强烈,优秀,.,：,基础,优化,专业,公司,强,沟通,精神,策略,协作,5,（,3,等,兴趣,及,C++,相关,能够,大学本科,分析模型,计算机科学,统计,）,年,以上,环节,大,1,积极主动,工作,编写,期货,回测,建设,予以考虑,改进,建立,4,总结,以上学历,并,数据,和,分析,成交,进行,，,设计,为主,团队,；"
量化策略研究员,https://jobs.51job.com/shanghai/120389313.html,上海-浦东新区,上海,上海,1年经验,1,硕士,6,上海念空数据科技中心（有限合伙）,民营,少于50人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,金融/证券/期货/投资,会计/金融/银行/保险,01-16发布,2023,,岗位职责：1、深入挖掘股票、期货市场的各种数据，从中提取有效信息编写CTA、股票Alpha和T0的因子；2、运用机器学习、深度学习的回测框架进行因子回测，分析模型报告，验证因子的有效性；3、协助PM开发交易策略，进行策略回测和参数调试，总结规律，提供有效的策略建议和研究报告；4、维护研究平台，跟踪交易滑点，统计实盘策略相关的各项指标.岗位要求：1、国内外重点学校硕士及以上学历，数学、物理、计算机、金融工程等理工科类专业，或与数量分析、量化交易等高度相关的复合专业背景；2、有出色的编程能力，精通python/C++，熟悉SQL数据库； 3、有扎实的数学、统计理论基础，对数据有很强的敏感性，在机器学习等相关领域有深入的实践研究经验尤佳；4、对量化投资有热情，有志于在量化行业长期发展，具有团队协作精神，专注，学习能力强。5、熟悉各类金融产品的交易规则，有量化行业一年以上工作/实习经验者尤佳。,"统计,基础,或,物理,.,编程,3,岗位,团队,精通,信息,2,尤佳,开发,复合,框架,各类,python,Alpha,敏感性,交易,具有,指标,经验,能力,行业,精神,股票,出色,编写,理工科,实盘,对,5,专注,计算机,长期,深度,PM,SQL,发展,扎实,总结,以上,建议,1,岗位职责,策略,背景,相关,产品,回测,数学,交易规则,机器,分析,专业,因子,C++,规律,报告,工程,硕士,等,及,工作,，,学校,有效性,重点,参数,/,深入,实践,期货市场,分析模型,要求,数量,领域,各种,跟踪,实习,一年,维护,数据,量化,类,；,很,在,CTA,高度,、,以上学历,提供,滑点, ,运用,进行,。,调试,协作,投资,热情,与,国内外,有志于,从中,验证,研究,挖掘,熟悉,平台,金融,学习,理论,和,各项,数据库,强,者,有,T0,4,协助,的,有效,：,提取"
量化策略研究员,https://jobs.51job.com/shenzhen/140485388.html,深圳-福田区,深圳,深圳,1年经验,1,本科,5,中量投资产管理有限公司,民营,少于50人,金融/投资/证券,金融业,1.2-2万,12,20,千/月,金融/证券/期货/投资,会计/金融/银行/保险,01-16发布,2023,,岗位职责：1、深入挖掘股票、期货，期权市场的各种数据，从中提取有效信息编写策略；2、协助PM开发交易策略，进行策略回测和参数调试，总结规律，提供有效的策略建议和研究报告；3、维护研究平台，统计实盘策略相关的各项指标.岗位要求：1、本科及以上学历，数学、物理、计算机、金融工程等理工科类专业，或与数量分析、量化交易等高度相关的复合专业背景；2、有出色的编程能力，精通python/C++，熟悉SQL数据库； 3、有扎实的数学、统计理论基础，对数据有很强的敏感性。4、对量化投资有热情，有志于在量化行业长期发展，具有团队协作精神，专注，学习能力强。5、熟悉各类金融产品的交易规则，有量化行业一年以上工作/实习经验者尤佳。,"规律,能力,高度,/,精通,统计,计算机,指标,PM,C++,投资,团队,1,；,深入,的,学习,精神,量化,产品,本科,物理,或,：,背景,强,各项,分析,4,调试,具有,者,实盘,协作,很,报告,建议, ,数学,交易,要求,在,热情,基础,岗位职责,回测,维护,有志于,从中,.,出色,与,以上,市场,信息,岗位,专业,提取,熟悉,期权,工程,期货,5,平台,交易规则,股票,2,理工科,各种,类,有,挖掘,策略,金融,编程,开发,协助,编写,尤佳,3,SQL,总结,各类,数量,以上学历,。,研究,python,一年,数据库,复合,发展,行业,及,和,参数,有效,实习,工作,数据,进行,相关,敏感性,理论,经验,扎实,等,长期,对,，,专注,、,提供"
量化投资基金经理助理,https://jobs.51job.com/hangzhou-jgq/82172520.html,杭州-江干区,杭州,杭州,3-4年经验,3.5,本科,5,浙江宁聚投资管理有限公司,民营公司,50-150人,金融/投资/证券,金融业,1-1.5万,10,15,千/月,金融/证券/期货/投资,会计/金融/银行/保险,10-10发布,2022,,岗位职责：1、 协助基金经理准确的实施投资策略；2、 根据既定的投资策略，管理基金各帐户（证券、信用、期货、期权等）的头寸和资金划拨；3、 监控基金各项风控指标，及时提示风险；4、 基金持仓和绩效统计分析；5、 优化交易策略，管理交易成本。任职要求：1、 具有扎实的金融投资教育或从业背景，对国内证券期货市场那个有一定的熟悉度；2、 具有良好的数理功底，熟练掌握常用统计方法和工具；3、 冷静仔细，思维缜密富有条理性，并具备较强的学习能力；4、 金融工程专业毕业，本科学历以上，具有一定的编程基础。,"帐户,能力,经理,统计,度,指标,并,投资,1,；,管理,（,的,学习,优化,思维,国内,良好,或,：,背景,交易成本,各项,4,具备,那个,具有,绩效,本科学历,持仓, ,准确,监控,既定,交易,要求,熟练掌握,证券期货,基础,岗位职责,统计分析,资金,提示,证券,功底,富有,数理,工具,及时,以上,市场,专业,熟悉,期权,工程,期货,5,实施,条理性,2,仔细,有,毕业,策略,金融,编程,协助,教育,3,方法,常用,。,风控,）,划拨,信用,和,一定,头寸,风险,根据,扎实,等,对,任职,缜密,从业,，,基金,、,较强,各,冷静"
量化研究员,https://jobs.51job.com/hangzhou-gsq/138244482.html,杭州-拱墅区,杭州,杭州,3-4年经验,3.5,本科,5,杭州一悠网络科技有限公司,民营公司,50-150人,计算机软件,信息传输、软件和信息技术服务业,2-3万/月,20,30,千/月,金融/证券/期货/投资,会计/金融/银行/保险,03-28发布,2022,,"1、对金融市场进行量化建模；2、研究各类套利交易策略，包括但不限于无风险套利、统计套利、事件套利等；3、研究开发各类高频交易信号；4、使用模拟交易系统对研发的交易信号进行回溯测试；5、与系统开发岗协同，加快系统研发周期。任职要求：1、本科及以上学历，数学、物理、计算机、金融工程等相关专业；有统计，人工智能，信号处理等方面研究经验的优先。2、具备丰富的数学建模经验，具有很强的数据处理能力。3、注重细节，具有极强的思考、分析、理解能力及洞察力，能够透过现象推理出本质。4、精通时间序列模型，衍生品定价者优先。5、具备一定的编程能力，有较强的科学研究能力、勤于动手，有毅力；6、熟悉Python,MATLAB等研究工具，熟悉C++优先。","统计,一定,任职,加快,物理,回溯,毅力,编程,3,模拟,精通,2,时间,信号,人工智能,能够,开发,各类,出,建模,事件,限于,套利,交易,具有,测试,经验,洞察力,能力,但,无风险,周期,理解能力,交易系统,科学研究,对,推理,5,计算机,MATLAB,信号处理,具备,细节,极强,1,策略,数据处理,相关,方面,数学,Python,不,分析,专业,模型,C++,工程,现象,等,衍生品,及,包括,，,动手,优先,定价,丰富,高频,要求,勤于,协同,工具,量化,；,本科,、,以上学历,进行,较,。,岗,,,透过,金融市场,注重,使用,序列,与,研究,思考,熟悉,很强,金融,系统,本质,强,者,有,4,6,的,：,研发"
量化策略投研经理,https://jobs.51job.com/shanghai/124008551.html,上海-虹口区,上海,上海,2年经验,2,硕士,6,上海创奥投资管理合伙企业（有限合伙）,民营,少于50人,金融/投资/证券,金融业,17.5-35万/年,14.58333333,29.16666667,千/月,金融/证券/期货/投资,会计/金融/银行/保险,01-16发布,2023,,岗位职责：  1、负责交易策略的开发和模型的实现  2、策略回测、仿真和实盘交易系统开发  3、参与投资策略量化平台框架设计、扩展、核心组件开发    岗位要求：  1、***或者***大学金融工程、统计、数学、计算机相关专业硕士学历  2、精通python、数据库开发，有独立设计、开发框架的能力  3、基本功扎实，有较好的面向对象的编程基础，对数据结构，计算机体系结构有很好的理解和认识  4、能熟练使用常用科学计算库，包括pandas等  5、对金融市场、股票交易有深入研究或者有私募、券商从业经验优先  6、有策略研究或开发经验优先,"组件,能力,精通,统计,计算机,包括,学历,投资,面向对象,pandas,扩展, ,1,模型,的,6,能,券商,量化,独立,或,：,4,熟练,实盘,很,科学计算, ,数学,较,交易,要求,基础,使用,岗位职责,回测,私募,岗位,专业,核心,理解,参与,工程,5,计算机相关,平台,*,2,有,策略,金融,编程,仿真,股票交易,开发,实现,数据结构,3,框架,硕士,常用,或者,研究,python,库,数据库,认识,交易系统,设计,和,基本功,体系结构,金融市场,好,深入研究,经验,扎实,等,优先,对,从业,，,大学,、,负责"
